dyad,understand,und_say,months,background
b01,157,6,12,Bangladeshi
b02,115,6,12,Bangladeshi
b03,77,1,12,Bangladeshi
b04,252,38,12,Bangladeshi
b05,120,9,12,Bangladeshi
b06,196,0,12,Bangladeshi
b07,37,13,12,Bangladeshi
b08,16,7,12,Bangladeshi
b09,103,0,12,Bangladeshi
b10,125,19,12,Bangladeshi
b11,84,13,12,Bangladeshi
b12,33,8,12,Bangladeshi
b13,18,5,12,Bangladeshi
b14,107,7,12,Bangladeshi
b15,149,9,12,Bangladeshi
b16,92,11,12,Bangladeshi
b17,117,8,12,Bangladeshi
b18,102,1,12,Bangladeshi
b19,101,18,12,Bangladeshi
b20,13,6,12,Bangladeshi
c01,65,0,12,Chinese
c02,309,0,12,Chinese
c03,75,3,12,Chinese
c04,97,14,12,Chinese
c05,258,11,12,Chinese
c06,107,0,12,Chinese
c07,92,1,12,Chinese
c08,238,15,12,Chinese
c09,114,1,12,Chinese
c10,34,2,12,Chinese
c11,119,7,12,Chinese
c12,30,2,12,Chinese
c13,83,0,12,Chinese
c14,66,0,12,Chinese
c15,37,2,12,Chinese
c16,36,9,12,Chinese
c17,68,3,12,Chinese
c18,53,4,12,Chinese
c19,12,2,12,Chinese
c20,53,2,12,Chinese
e01,38,15,12,English
e02,31,0,12,English
e03,60,13,12,English
e04,74,59,12,English
e05,50,8,12,English
e06,101,0,12,English
e07,140,2,12,English
e08,83,10,12,English
e09,28,4,12,English
e10,20,6,12,English
e11,118,1,12,English
e12,108,4,12,English
e13,184,7,12,English
e14,201,13,12,English
e15,172,5,12,English
e16,60,7,12,English
e17,102,16,12,English
e18,148,12,12,English
e19,,,12,English
e20,53,0,12,English
b01,213,83,18,Bangladeshi
b02,167,11,18,Bangladeshi
b03,140,6,18,Bangladeshi
b04,357,333,18,Bangladeshi
b05,175,105,18,Bangladeshi
b06,191,8,18,Bangladeshi
b07,158,23,18,Bangladeshi
b08,47,15,18,Bangladeshi
b09,240,7,18,Bangladeshi
b10,187,44,18,Bangladeshi
b11,153,15,18,Bangladeshi
b12,186,18,18,Bangladeshi
b13,226,38,18,Bangladeshi
b14,255,6,18,Bangladeshi
b15,242,6,18,Bangladeshi
b16,139,7,18,Bangladeshi
b17,310,48,18,Bangladeshi
b18,199,17,18,Bangladeshi
b19,229,49,18,Bangladeshi
b20,95,14,18,Bangladeshi
c01,312,111,18,Chinese
c02,397,165,18,Chinese
c03,190,10,18,Chinese
c04,269,86,18,Chinese
c05,330,28,18,Chinese
c06,200,16,18,Chinese
c07,193,15,18,Chinese
c08,331,264,18,Chinese
c09,229,7,18,Chinese
c10,121,87,18,Chinese
c11,308,38,18,Chinese
c12,282,2,18,Chinese
c13,279,5,18,Chinese
c14,120,7,18,Chinese
c15,55,3,18,Chinese
c16,175,33,18,Chinese
c17,148,16,18,Chinese
c18,126,3,18,Chinese
c19,116,2,18,Chinese
c20,152,2,18,Chinese
e01,285,99,18,English
e02,121,6,18,English
e03,159,74,18,English
e04,192,67,18,English
e05,257,209,18,English
e06,198,13,18,English
e07,368,51,18,English
e08,341,104,18,English
e09,76,5,18,English
e10,74,16,18,English
e11,353,28,18,English
e12,155,18,18,English
e13,,,18,English
e14,188,20,18,English
e15,281,22,18,English
e16,250,172,18,English
e17,353,277,18,English
e18,337,43,18,English
e19,,,18,English
e20,76,9,18,English
